,names,ids,images_url
39,Counter-Strike 2,730,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/8dbc71957312bbd3baea65848b545be9eae2a355.jpg
40,CounterAttack,451600,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/451600/14712f46f30505fe3ad81f942eb64adf7fed857c.jpg
41,Crab Game,1782210,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/1782210/e1afdaf96f55771d1d5ea4c9692d0f707ab0110b.jpg
42,Darts and Friends,832680,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/832680/fc4cb44637ab3be6c28fb09cf78c06132445b748.jpg
43,Day of Infamy,447820,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
44,DeDrive,672490,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/672490/7e3186a5955fa72ad791f653993a727ebc61b659.jpg
45,Death Runner,665550,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/665550/b3e63a29571b5177d850c4852c73a4377d32d760.jpg
46,Defense Clicker,707590,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/707590/0a2d21423d66e1f9db27897dc997a1e3dd77fcbd.jpg
47,Depth,274940,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/274940/0c711a26af920e93af7cf0fc797fbb200367105e.jpg
48,Desert Strait: Operation Online,684130,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/684130/70adce32ca907edcffa2bf9a2aa496f345ccd3f9.jpg
49,Died Of Fear,663920,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/663920/cb903ab823a73c680ef4cd0f723cf852456c8c27.jpg
50,DiggerOnline,278970,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/278970/3b736ea88dec4bc04326192c7516619f7320f415.jpg
51,Dinosaur Forest,506730,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/506730/b70067f577b005ee5c814440fe6439b7d27cae5a.jpg
52,Dinosaur Hunt,401190,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/401190/c2a483224906b5f8aad8a46529304a8f6047607b.jpg
