,names,prices,icons_url
30,Side Cover | Skull White,$0.06,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
31,Air Filter 1 | Pink,$0.52,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
32,Side Cover | Swirl Red,$0.63,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
33,Muffler 9 | Silver,$0.12,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
34,Air Filter 2 | Silver Purple,$1.40,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
35,Side Cover | White,$0.10,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
36,Starter 1 | Skull Purple,$0.26,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
37,Muffler 2 | Painted Stripe Red,$0.15,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
38,Fuel Tank 5 | Red,$0.12,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
39,Valve Cover 2 | Silver,$0.30,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
40,Fuel Tank 1 | Yellow,$0.23,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
41,Ignition | Red,$0.17,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
42,Air Filter 2 | Gold Black,$0.23,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
43,Starter 1 | Flame White,$0.21,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
44,Air Filter 1 | Blue,$0.18,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
45,Cylinder Block | Painted Green,$0.20,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
46,Air Filter 4 | Metal Silver,$0.19,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
47,Muffler 2 | Painted Flame Red,$0.09,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
48,Starter 1 | Swirl Yellow,$2.10,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
