,names,prices,icons_url
0,101st Airborne Division,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
1,1. Fallschirmjager-Division,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
2,Seaforth Highlanders of Canada,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
3,Royal Fusiliers,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
4,3rd Infantry Division,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
5,Princess Patricia's Canadian Light Infantry,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
6,29th Infantry Division,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
7,Grenadier Guards,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
8,1st Infantry Division,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
9,The Argyll and Sutherland Highlanders of Canada,$0.04,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
10,Royal Hamilton Light Infantry,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
11,The Black Watch,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
12,3rd Panzergrenadier Division,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
13,29th Panzergrenadier Division,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
14,28th Infantry Division,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
15,2/17th Battalion,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
16,1st Ranger Battalion,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
17,15th Panzergrenadier Division,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
18,352. Infanterie-Division,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
19,272nd Volksgrenadier Division,$0.04,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
20,1. Infanterie-Division,$0.07,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
21,Gordon Highlanders,$0.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
22,"82nd Airborne, 505th PIR",$0.04,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
23,761st 'Black Panthers' Tank Battalion,$0.70,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
24,92nd Infantry Division,$0.69,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
25,12th Frontier Force Regiment,$0.98,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
26,2nd Ranger Battalion,$1.31,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
27,3.  Fallschirmjager Division,$2.50,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/447820/e28d7cd84bd3d535a7cac4f2d5faa7b10f6a05ba.jpg
